1,Remember_01_CmA,4,4597
1,Realistic_01_CmA,3,4597
1,Attractive_01_CmA,1,4597
2,Remember_29_Sa,1,4597
2,Realistic_29_Sa,2,4597
2,Attractive_29_Sa,3,4597
3,Remember_02_CmA,4,4597
3,Realistic_02_CmA,4,4597
3,Attractive_02_CmA,4,4597
4,Remember_30_Sa,1,4597
4,Realistic_30_Sa,2,4597
4,Attractive_30_Sa,1,4597
5,Remember_03_CmA,5,4597
5,Realistic_03_CmA,4,4597
5,Attractive_03_CmA,4,4597
6,Remember_31_Sa,1,4597
6,Realistic_31_Sa,2,4597
6,Attractive_31_Sa,2,4597
7,Remember_04_CmA,5,4597
7,Realistic_04_CmA,5,4597
7,Attractive_04_CmA,3,4597
8,Remember_32_Sa,1,4597
8,Realistic_32_Sa,4,4597
8,Attractive_32_Sa,2,4597
9,Remember_05_CmA,5,4597
9,Realistic_05_CmA,5,4597
9,Attractive_05_CmA,2,4597
10,Remember_33_Sa,1,4597
10,Realistic_33_Sa,2,4597
10,Attractive_33_Sa,2,4597
11,Remember_07_CmA,3,4597
11,Realistic_07_CmA,4,4597
11,Attractive_07_CmA,3,4597
12,Remember_34_Sa,1,4597
12,Realistic_34_Sa,4,4597
12,Attractive_34_Sa,4,4597
13,Remember_08_CmA,2,4597
13,Realistic_08_CmA,4,4597
13,Attractive_08_CmA,3,4597
14,Remember_35_Sa,4,4597
14,Realistic_35_Sa,4,4597
14,Attractive_35_Sa,4,4597
15,Remember_09_CmA,2,4597
15,Realistic_09_CmA,4,4597
15,Attractive_09_CmA,3,4597
16,Remember_36_Sa,1,4597
16,Realistic_36_Sa,4,4597
16,Attractive_36_Sa,3,4597
17,Remember_10_CmA,1,4597
17,Realistic_10_CmA,3,4597
17,Attractive_10_CmA,3,4597
18,Remember_37_Sa,1,4597
18,Realistic_37_Sa,2,4597
18,Attractive_37_Sa,2,4597
19,Remember_11_CmA,1,4597
19,Realistic_11_CmA,4,4597
19,Attractive_11_CmA,3,4597
20,Remember_38_Sa,1,4597
20,Realistic_38_Sa,4,4597
20,Attractive_38_Sa,3,4597
21,Remember_12_CmA,2,4597
21,Realistic_12_CmA,4,4597
21,Attractive_12_CmA,3,4597
22,Remember_39_Sa,1,4597
22,Realistic_39_Sa,3,4597
22,Attractive_39_Sa,1,4597
23,Remember_13_CmA,4,4597
23,Realistic_13_CmA,5,4597
23,Attractive_13_CmA,4,4597
24,Remember_40_Sa,1,4597
24,Realistic_40_Sa,2,4597
24,Attractive_40_Sa,3,4597
25,Remember_14_CmA,3,4597
25,Realistic_14_CmA,4,4597
25,Attractive_14_CmA,4,4597
26,Remember_41_Sa,1,4597
26,Realistic_41_Sa,3,4597
26,Attractive_41_Sa,4,4597
27,Remember_15_CmA,5,4597
27,Realistic_15_CmA,4,4597
27,Attractive_15_CmA,4,4597
28,Remember_42_Sa,3,4597
28,Realistic_42_Sa,4,4597
28,Attractive_42_Sa,4,4597
29,Remember_16_CmA,3,4597
29,Realistic_16_CmA,4,4597
29,Attractive_16_CmA,4,4597
30,Remember_43_Sa,1,4597
30,Realistic_43_Sa,3,4597
30,Attractive_43_Sa,3,4597
31,Remember_17_CmA,3,4597
31,Realistic_17_CmA,3,4597
31,Attractive_17_CmA,2,4597
32,Remember_44_Sa,1,4597
32,Realistic_44_Sa,4,4597
32,Attractive_44_Sa,3,4597
33,Remember_18_CmA,4,4597
33,Realistic_18_CmA,4,4597
33,Attractive_18_CmA,3,4597
34,Remember_45_Sa,1,4597
34,Realistic_45_Sa,2,4597
34,Attractive_45_Sa,1,4597
35,Remember_19_CmA,5,4597
35,Realistic_19_CmA,4,4597
35,Attractive_19_CmA,4,4597
36,Remember_46_Sa,2,4597
36,Realistic_46_Sa,4,4597
36,Attractive_46_Sa,3,4597
37,Remember_20_CmA,5,4597
37,Realistic_20_CmA,5,4597
37,Attractive_20_CmA,4,4597
38,Remember_47_Sa,1,4597
38,Realistic_47_Sa,3,4597
38,Attractive_47_Sa,2,4597
39,Remember_21_CmA,2,4597
39,Realistic_21_CmA,2,4597
39,Attractive_21_CmA,2,4597
40,Remember_48_Sa,1,4597
40,Realistic_48_Sa,3,4597
40,Attractive_48_Sa,3,4597
41,Remember_22_CmA,4,4597
41,Realistic_22_CmA,4,4597
41,Attractive_22_CmA,3,4597
42,Remember_49_Sa,1,4597
42,Realistic_49_Sa,3,4597
42,Attractive_49_Sa,2,4597
43,Remember_23_CmA,4,4597
43,Realistic_23_CmA,4,4597
43,Attractive_23_CmA,3,4597
44,Remember_50_Sa,2,4597
44,Realistic_50_Sa,4,4597
44,Attractive_50_Sa,3,4597
45,Remember_24_CmA,1,4597
45,Realistic_24_CmA,3,4597
45,Attractive_24_CmA,2,4597
46,Remember_51_Sa,1,4597
46,Realistic_51_Sa,2,4597
46,Attractive_51_Sa,2,4597
47,Remember_25_CmA,4,4597
47,Realistic_25_CmA,4,4597
47,Attractive_25_CmA,4,4597
48,Remember_52_Sa,1,4597
48,Realistic_52_Sa,4,4597
48,Attractive_52_Sa,3,4597
49,Remember_26_CmA,4,4597
49,Realistic_26_CmA,3,4597
49,Attractive_26_CmA,3,4597
50,Remember_53_Sa,1,4597
50,Realistic_53_Sa,1,4597
50,Attractive_53_Sa,1,4597
51,Remember_27_CmA,3,4597
51,Realistic_27_CmA,2,4597
51,Attractive_27_CmA,2,4597
52,Remember_54_Sa,1,4597
52,Realistic_54_Sa,4,4597
52,Attractive_54_Sa,3,4597
53,Remember_28_CmA,1,4597
53,Realistic_28_CmA,3,4597
53,Attractive_28_CmA,3,4597
54,Remember_55_Sa,1,4597
54,Realistic_55_Sa,3,4597
54,Attractive_55_Sa,3,4597
55,Remember_06_CmA,4,4597
55,Realistic_06_CmA,4,4597
55,Attractive_06_CmA,4,4597
56,Remember_56_Sa,1,4597
56,Realistic_56_Sa,3,4597
56,Attractive_56_Sa,3,4597
1,Remember_01_CmA,4,8469
1,Realistic_01_CmA,3,8469
1,Attractive_01_CmA,2,8469
2,Remember_29_Sa,4,8469
2,Realistic_29_Sa,3,8469
2,Attractive_29_Sa,2,8469
3,Remember_02_CmA,2,8469
3,Realistic_02_CmA,4,8469
3,Attractive_02_CmA,3,8469
4,Remember_30_Sa,1,8469
4,Realistic_30_Sa,3,8469
4,Attractive_30_Sa,2,8469
5,Remember_03_CmA,3,8469
5,Realistic_03_CmA,3,8469
5,Attractive_03_CmA,2,8469
6,Remember_31_Sa,1,8469
6,Realistic_31_Sa,2,8469
6,Attractive_31_Sa,2,8469
7,Remember_04_CmA,1,8469
7,Realistic_04_CmA,4,8469
7,Attractive_04_CmA,4,8469
8,Remember_32_Sa,1,8469
8,Realistic_32_Sa,2,8469
8,Attractive_32_Sa,2,8469
9,Remember_05_CmA,3,8469
9,Realistic_05_CmA,4,8469
9,Attractive_05_CmA,3,8469
10,Remember_33_Sa,1,8469
10,Realistic_33_Sa,3,8469
10,Attractive_33_Sa,2,8469
11,Remember_07_CmA,4,8469
11,Realistic_07_CmA,3,8469
11,Attractive_07_CmA,3,8469
12,Remember_34_Sa,1,8469
12,Realistic_34_Sa,4,8469
12,Attractive_34_Sa,3,8469
13,Remember_08_CmA,1,8469
13,Realistic_08_CmA,3,8469
13,Attractive_08_CmA,3,8469
14,Remember_35_Sa,1,8469
14,Realistic_35_Sa,4,8469
14,Attractive_35_Sa,4,8469
15,Remember_09_CmA,3,8469
15,Realistic_09_CmA,4,8469
15,Attractive_09_CmA,4,8469
16,Remember_36_Sa,1,8469
16,Realistic_36_Sa,3,8469
16,Attractive_36_Sa,3,8469
17,Remember_10_CmA,1,8469
